Protein_ID,Source,Num_Pockets,Top_Score,Top_Probability,Center_X,Center_Y,Center_Z,Surf_Atoms,Score_Sim,Size_Sim,TM_Score,Rank_Score
clean_5TVN,pdb,5,29.52,0.931,-22.653,-17.886,9.587,49.0,0.9866310160432274,0.6447368421099378,0.58935,0.7768398874196393
clean_9BHM,pdb,22,30.86,0.936,128.904,104.208,94.228,83.0,0.9685828877015848,0.9078947368433172,0.52793,0.7764780512246487
clean_4Z36,pdb,4,36.71,0.956,-3.266,-27.209,51.262,79.0,0.7730614973337882,0.960526315789993,0.59473,0.7753569310457569
clean_7SK9,pdb,10,31.7,0.94,163.597,161.214,137.505,84.0,0.9405080213923628,0.8947368421066482,0.5387,0.7750552884891374
P49682,alphafold,7,31.69,0.911,3.432,3.107,-10.919,84.0,0.9408422459912821,0.8947368421066482,0.55827,0.7742501334089212
Q9NYM4,alphafold,15,30.09,0.901,6.467,-0.445,-11.597,55.0,0.9943181818183717,0.7236842105299515,0.5802,0.7736120574166695
clean_7F1Z,pdb,14,32.48,0.943,97.932,83.902,134.209,92.0,0.9144385026766566,0.7894736842132964,0.56519,0.770811068956661
clean_4XT1,pdb,10,28.6,0.926,100.063,22.645,221.558,81.0,0.955882352942651,0.9342105263166551,0.52027,0.7705055232201957
clean_7SK8,pdb,16,34.54,0.95,157.773,163.55,166.569,75.0,0.8455882352992785,0.986842105263331,0.54151,0.7694058575861887
clean_4Z34,pdb,6,37.53,0.958,-3.118,-27.329,51.664,72.0,0.7456550802224047,0.9473684210533241,0.59248,0.7682598581498133
clean_6D27,pdb,9,34.43,0.95,45.456,-53.564,286.971,82.0,0.849264705887391,0.9210526315799862,0.55104,0.7673742043354768
clean_4NC3,pdb,7,35.86,0.954,-21.147,-18.177,9.546,64.0,0.8014705882419295,0.8421052631599724,0.59,0.7667046439643831
clean_6D26,pdb,7,35.88,0.954,7.073,84.545,280.271,75.0,0.8008021390440908,0.986842105263331,0.55326,0.7663486383351513
clean_6RZ4,pdb,9,26.02,0.91,41.518,26.584,58.887,83.0,0.8696524064214688,0.9078947368433172,0.56975,0.7656199549686256
clean_7CX2,pdb,15,30.53,0.935,103.736,68.127,85.275,87.0,0.9796122994659221,0.8552631578966413,0.50913,0.7656007756828487
clean_8UWL,pdb,24,25.73,0.908,140.065,153.435,183.584,73.0,0.8599598930528087,0.960526315789993,0.56016,0.7645086101895611
clean_8XQI,pdb,13,34.25,0.949,115.175,132.585,145.696,86.0,0.8552807486679386,0.8684210526333103,0.55063,0.7628502549969187
clean_8ZH8,pdb,22,32.29,0.942,141.373,133.888,162.9,96.0,0.9207887700561235,0.7368421052666205,0.55328,0.7617539645378867
clean_7F1R,pdb,12,27.29,0.92,96.519,150.296,122.824,70.0,0.9120989304842212,0.9210526315799862,0.52775,0.761625049254843
clean_7W41,pdb,10,22.37,0.88,-24.042,5.091,-9.032,84.0,0.7476604278159205,0.8947368421066482,0.6437,0.760485769773849
clean_7UM6,pdb,16,28.89,0.928,116.138,118.518,150.351,97.0,0.965574866311311,0.7236842105299515,0.5381,0.7591233943152573
clean_6DRY,pdb,5,34.49,0.95,-23.116,-17.901,9.474,53.0,0.847259358293875,0.6973684210566136,0.58548,0.7583807137644364
clean_7CX4,pdb,16,30.09,0.933,103.875,68.248,84.952,94.0,0.9943181818183717,0.7631578947399584,0.50737,0.7580274258376702
clean_8IKL,pdb,15,29.1,0.929,69.881,96.086,96.477,81.0,0.9725935828886165,0.9342105263166551,0.47562,0.7568877692093889
clean_7ZL9,pdb,8,36.43,0.956,22.045,67.676,190.436,82.0,0.7824197861035288,0.9210526315799862,0.55091,0.7557532203787043
clean_7UM5,pdb,14,29.6,0.932,113.24,106.885,82.557,107.0,0.989304812834582,0.5921052631632617,0.5466,0.7553114888832426
clean_3V2Y,pdb,6,39.43,0.962,5.74,16.822,-7.558,91.0,0.6821524064277356,0.8026315789499654,0.61903,0.7529056391805435
clean_5WIU,pdb,7,37.31,0.958,-17.117,16.089,-17.587,67.0,0.7530080213986294,0.8815789473699792,0.56659,0.7527954990167238
clean_6WHA,pdb,22,31.69,0.94,66.833,60.873,66.972,92.0,0.9408422459912821,0.7894736842132964,0.50419,0.7507918176195861
clean_4MBS,pdb,18,24.55,0.899,186.513,110.133,23.227,95.0,0.8205213903803301,0.7500000000032895,0.60346,0.750188278076395
clean_6WGT,pdb,24,39.46,0.962,6.799,0.45,56.255,67.0,0.6811497326309777,0.8815789473699792,0.59233,0.7499198412631936
clean_7S8O,pdb,18,29.6,0.932,111.769,129.467,89.851,94.0,0.989304812834582,0.7631578947399584,0.48969,0.7496527520409123
clean_8JD6,pdb,51,32.63,0.944,199.986,169.956,258.571,77.0,0.9094251336928668,0.986842105263331,0.46403,0.7493812372649065
clean_8DPF,pdb,15,36.06,0.954,126.965,145.147,102.772,66.0,0.7947860962635432,0.8684210526333103,0.54335,0.7493393245160397
