Protein_ID,Vina_Score,FlexX_Score,HYDE_Lower_nM,HYDE_Upper_nM,FlexX_Poses
clean_2GWH,-8.7,2.51,23210726439779.640625,2306122904467577.5,8
clean_2OFX,-8.7,-4.66,8629656.294432,857407375.417859,10
clean_2Z5F,-8.7,NA,NA,NA,1
clean_3CQU,-8.7,-6.77,764.058894,75913.768548,10
clean_3DKJ,-8.7,-7.55,3850073369101.560059,382527552655522.3125,10
clean_3DKL,-8.7,-8.54,31677567954870.226563,3147353668920668.0,10
clean_3R94,-8.7,-13.89,5625.139054,558890.823442,10
clean_3U3J,-8.7,-7.16,8741691.733159,868538758.661272,10
clean_3U3K,-8.7,0.56,9326513458.816561,926644254845.05249,7
clean_3ZMS,-8.7,-7.97,31899741.21458,3169427895.865132,8
clean_4KFP,-8.7,-3.11,8246111.492127,819299931.612428,10
clean_4L4T,-8.7,NA,NA,NA,0
clean_4LVD,-8.7,-2.63,1598382555.573009,158808757281.761658,10
clean_4LVF,-8.7,-4.81,124472919.283417,12367120472.949596,10
clean_4M6Q,-8.7,-11.28,949540.832956,94342495.883894,10
clean_4NQE,-8.7,-9.76,13018.901883,1293504.875901,1
clean_4O15,-8.7,-7.97,3454333783.063416,343208484985.026611,10
clean_4O1A,-8.7,2.34,608965.933131,60504365.948121,10
clean_4ORY,-8.7,-10.56,449592.561011,44669679.13799,10
clean_4PJI,-8.7,-9.01,1084799.560949,107781250.222867,10
clean_4WDX,-8.7,-3.43,2406988366.17772,239148525421.254395,10
clean_4Y6L,-8.7,-4.10,120585.133446,11980845.963579,10
clean_4YHT,-8.7,-6.68,1449703.612266,144036625.204713,10
clean_5ANT,-8.7,-5.31,249.912269,24830.261525,10
clean_5LX3,-8.7,-2.52,5762512244.69116,572539662178.850464,10
clean_5NGT,-8.7,-5.47,146550.616346,14560670.20982,10
clean_5VV4,-8.7,-10.65,46.770626,4646.938233,10
clean_5WBS,-8.7,-6.96,0.354208,35.192646,10
clean_5WI0,-8.7,-7.33,192276764.093199,19103833342.858681,10
clean_6AA4,-8.7,-7.66,55933.34972,5557308.99884,10
clean_6AA5,-8.7,-3.91,3015.941574,299651.627036,10
clean_6DWM,-8.7,-4.99,7.460188,741.21381,10
clean_6FNI,-8.7,-4.79,24.005722,2385.110438,10
clean_6FZF,-8.7,4.24,250.459423,24884.624497,3
clean_6GLV,-8.7,-7.16,1788296.457444,177677826.292483,10
clean_6JVI,-8.7,-9.52,2413.759709,239821.298382,10
clean_6JVM,-8.7,-6.93,11722.050985,1164655.071657,10
clean_6JVO,-8.7,-6.82,313506.914698,31148765.574852,10
clean_6KS0,-8.7,-3.23,0.020488,2.035632,10
clean_6KS1,-8.7,-11.18,19394.230435,1926931.461458,10
clean_6NHB,-8.7,-11.82,33.331685,3311.699936,10
clean_6PUK,-8.7,-13.82,4076.192587,404993.833874,10
clean_6TA2,-8.7,-3.45,121920402935.953934,12113512882158.140625,10
clean_7LKY,-8.7,11.59,541.053416,53756.85588,1
clean_7TD3,-8.7,1.20,0.023546,2.339428,1
clean_8CAA,-8.7,-5.85,26.269427,2610.022861,10
clean_8DSM,-8.7,-6.78,665242110.688781,66095736919.568649,10
clean_8G59,-8.7,NA,NA,NA,0
clean_8OWZ,-8.7,-8.91,0.10248,10.182,10
clean_8QT4,-8.7,-6.46,654089.426828,64987651.838158,10
clean_8QZ3,-8.7,-3.69,555.929795,55234.912064,10
clean_1NSI,-8.6,-8.98,708.449926,70388.688816,10
clean_1Q1Z,-8.6,-3.98,20288.124157,2015745.087865,10
clean_1XU9,-8.6,-5.67,51.892698,5155.846333,10
clean_2A3R,-8.6,-8.05,16902680472.153677,1679381241464.516602,10
clean_2D06,-8.6,-5.39,540539817.732526,53705826816.058105,10
clean_2GVG,-8.6,-2.30,345689833378.639648,34346328826217.808594,10
clean_2IIP,-8.6,-4.28,511536.364517,50824162.257121,10
clean_2REO,-8.6,-8.32,3844525.523131,381976341.356907,10
clean_2RJ1,-8.6,-7.53,4231626.013076,420437063.752157,10
clean_2RJ7,-8.6,4.01,658011.791622,65377361.97129,4
clean_2W3B,-8.6,-1.24,126758.104667,12594167.151912,10
clean_3G4G,-8.6,-3.32,0.38997,38.745867,10
clean_3MHJ,-8.6,-3.18,985748552.518377,97939946899.394485,3
clean_3QVU,-8.6,-9.04,247329339.261234,24573632182.387581,6
clean_3RM9,-8.6,-10.56,23687.042079,2353447.679384,10
clean_3SXA,-8.6,-1.13,662718.928243,65845043.825387,7
clean_3SXE,-8.6,0.90,3526.618451,350390.394174,6
clean_3U3M,-8.6,-7.17,6963782558.780121,691892970355.782837,10
clean_3U3O,-8.6,-6.87,6688362757408.964844,664528384678819.75,10
clean_3W5E,-8.6,-9.09,162235.74504,16119080.483361,10
clean_3WHW,-8.6,-14.73,5567202.545408,553134488.792687,10
clean_4DLI,-8.6,-4.88,175.938244,17480.504768,10
clean_4JR5,-8.6,-4.83,2904726869.810324,288601788620.08905,10
clean_4JVL,-8.6,-3.99,16624054.821708,1651698135.727566,7
clean_4JVM,-8.6,-3.00,27423598594.032013,2724696661464.007324,8
clean_4K85,-8.6,-1.19,50.41534,5009.06208,10
clean_4L4M,-8.6,-10.17,312090.2593,31008012.48509,10
clean_4N9B,-8.6,-3.56,1709502798.307431,169849210392.296875,10
clean_4O19,-8.6,1.38,468854310.66816,46583447850.952461,10
clean_4UZQ,-8.6,NA,NA,NA,0
clean_5ADG,-8.6,NA,NA,NA,0
clean_5ANW,-8.6,-9.82,4067.664443,404146.512329,10
clean_5AVL,-8.6,-6.91,6.679711,663.668829,10
clean_5BPB,-8.6,-9.37,316.782404,31474.20482,10
clean_5DY5,-8.6,-9.16,69.074303,6862.940385,10
clean_5MKJ,-8.6,-6.07,21.17809,2104.168431,10
clean_5NHY,-8.6,-7.84,119340.456049,11857179.905126,10
clean_5YF0,-8.6,-9.86,44783.157565,4449471.483087,10
clean_5YQL,-8.6,-6.33,3873.776918,384882.640401,10
clean_6ATB,-8.6,-5.58,103897706.503712,10322851433.000406,10
clean_6B76,-8.6,-5.24,18738072792262.625,1861738320165555.0,10
clean_6BD8,-8.6,-12.24,698771.41558,69427071.601451,10
clean_6BDK,-8.6,-5.12,10167.143905,1010165.859826,10
clean_6E35,-8.6,4.37,1839.987449,182813.631887,2
clean_6EQ7,-8.6,-11.28,1642.970381,163238.821345,10
clean_6G3A,-8.6,-1.65,19673208.219294,1954649553.799376,9
clean_6JVP,-8.6,-5.61,47102.592807,4679921.087935,10
clean_6PNO,-8.6,-0.98,5568.843423,553297.519678,10
clean_6PO5,-8.6,-11.36,318.533594,31648.195851,10
clean_6PUL,-8.6,NA,NA,NA,4
clean_6S7O,-8.6,-4.24,89.129623,8855.555068,10
clean_6S9W,-8.6,-10.88,58.005506,5763.189937,10
clean_6T4G,-8.6,-9.81,2.984739,296.551506,10
clean_6UDL,-8.6,-9.43,1.808599,179.694965,10
clean_7KTJ,-8.6,-10.94,828699.320153,82336177.115299,10
clean_7LMT,-8.6,2.97,2828.462214,281024.444157,10
clean_7MDN,-8.6,4.35,79.678092,7916.489542,1
clean_7MFY,-8.6,-16.95,1.196109,118.840467,10
clean_7TS8,-8.6,-11.65,25.316208,2515.31495,10
clean_7YV4,-8.6,3.49,90365.058651,8978302.85751,2
clean_7Z2L,-8.6,-10.58,58754.836866,5837640.42869,10
clean_8B75,-8.6,-5.36,98423.180628,9778924.919302,10
clean_8BP6,-8.6,1.84,148903.998417,14794492.632806,2
clean_8F7L,-8.6,-5.60,1745527304.965913,173428458122.557037,10
clean_8FGG,-8.6,-11.37,30.076593,2988.287355,10
clean_1DSN,-8.5,-1.91,55331.545187,5497516.160361,9
clean_2FGB,-8.5,-4.32,179570914.433839,17841432056.27277,10
clean_2IWG,-8.5,NA,NA,NA,0
clean_2RJ4,-8.5,-6.23,59381.084704,5899861.85414,8
clean_2VZD,-8.5,-7.47,451.112089,44820.653233,10
clean_2WKP,-8.5,-2.93,409865.42385,40722553.175675,10
clean_2WKQ,-8.5,-2.67,374457.351652,37204551.853666,10
clean_3CAQ,-8.5,-4.41,8413.828245,835963.582618,10
clean_3D4Q,-8.5,-7.89,52.386401,5204.898633,10
clean_3D6D,-8.5,-5.85,15117904.732831,1502053219.333544,10
clean_3FO5,-8.5,-6.27,748.593171,74377.157598,10
clean_3MFS,-8.5,-3.44,99868.452216,9922521.196665,10
clean_3P1Q,-8.5,-3.21,19929.794554,1980142.92326,10
clean_3SXG,-8.5,-11.05,790867.634961,78577375.512944,10
clean_3U3R,-8.5,NA,NA,NA,0
clean_3UFY,-8.5,-12.92,12.107634,1202.964994,10
clean_4KFN,-8.5,-5.90,43921739881.410065,4363884543096.116211,10
clean_4L4V,-8.5,-18.00,2854.206958,283582.336662,10
clean_4LCW,-8.5,-17.94,2088.02756,207457.88349,10
clean_4N9D,-8.5,1.86,27120536.372007,2694585637.860137,10
clean_4NOS,-8.5,-8.11,5241.102205,520734.49188,10
clean_4P4E,-8.5,-11.06,236982813.702832,23545643694.659916,10
clean_4P6X,-8.5,-16.01,12.189993,1211.147919,10
clean_4UVW,-8.5,-11.21,1635.510561,162497.644118,10
clean_4V24,-8.5,-8.23,0.869449,86.384924,10
clean_4WDW,-8.5,-8.92,162860478.52011,16181151448.327518,10
clean_4YIK,-8.5,-12.92,84.949761,8440.261062,10
clean_4ZGA,-8.5,-2.55,5391.561963,535683.55842,8
clean_5BXC,-8.5,-5.71,43396.810782,4311729.733474,5
clean_5FSN,-8.5,-1.29,110409.2199,10969808.78805,5
clean_5FYQ,-8.5,4.22,28666.450511,2848181.347732,10
clean_5HZH,-8.5,-3.52,4784575.627359,475375877.228025,10
clean_5JRQ,-8.5,-0.24,2.933649,291.475326,7
clean_5KIT,-8.5,0.96,133196076510.776321,13233817718875.017578,10
clean_5N68,-8.5,-6.77,3748901.054897,372475485.061258,10
clean_5O8U,-8.5,-3.61,307.777695,30579.533685,10
clean_5Q0I,-8.5,-5.21,72.298421,7183.275542,10
clean_5U16,-8.5,-8.19,13729.339051,1364091.008974,7
clean_5UO1,-8.5,-10.16,14231.968084,1414030.175213,10
clean_5VMV,-8.5,-13.93,13.719146,1363.078281,10
clean_5WJJ,-8.5,-3.48,15471.821188,1537216.911678,10
clean_6EQ5,-8.5,-9.16,455461.619554,45252804.804951,7
clean_6G2L,-8.5,-13.79,1383.733858,137482.140042,10
clean_6GLF,-8.5,-7.93,146680.960304,14573620.652707,10
clean_6HHI,-8.5,-9.34,14264.753545,1417287.604602,10
clean_6HWV,-8.5,-7.01,12036.485466,1195895.996353,10
clean_6JVG,-8.5,-5.79,223.337684,22189.91943,10
clean_6JVH,-8.5,-5.85,44356.627523,4407093.201532,10
clean_6JVL,-8.5,-2.84,6374.979196,633391.875018,10
clean_6PNF,-8.5,-11.75,13731.148284,1364270.767033,10
clean_6PUF,-8.5,-11.97,356.519187,35422.289146,1
clean_6PUG,-8.5,-10.70,8395228.897215,834115627.459854,10
clean_6PZ1,-8.5,-0.14,49362.591916,4904465.361613,8
clean_6QIO,-8.5,-11.22,2690.426444,267309.774294,10
clean_6T1V,-8.5,-4.51,269.885596,26814.729611,10
clean_6TA0,-8.5,-2.49,211169201086.786316,20980908659099.257813,10
clean_6Z58,-8.5,-6.09,544.787775,54127.886519,10
clean_7JWR,-8.5,-7.52,231.349102,22985.901083,10
clean_7MXG,-8.5,-11.97,775.705111,77070.889093,10
clean_7NKE,-8.5,-3.15,0.054589,5.423767,10
clean_7SVN,-8.5,-4.91,13497.783139,1341084.560032,10
clean_7TS6,-8.5,-12.17,1126.035022,111878.237036,10
clean_7US7,-8.5,-11.19,66439.682868,6601175.31547,10
clean_7ZT2,-8.5,-11.90,83723.868462,8318461.346352,6
clean_7ZT7,-8.5,-4.71,15746.154343,1564473.532562,3
clean_8CNH,-8.5,-10.33,881897.746072,87621755.264383,10
clean_8FGM,-8.5,-12.41,809.483761,80426.997675,10
clean_8QT8,-8.5,-4.54,272.861941,27110.447158,10
Q9UKU6,-8.5,-10.65,18175017.697693,1805795467.474875,10
clean_1FM9,-8.4,-1.40,115.796334,11505.050409,6
clean_1S1P,-8.4,-7.83,72345300.150676,7187933309.235984,10
clean_1XLS,-8.4,-4.47,36.690247,3645.392979,10
clean_2FB8,-8.4,-4.87,7767.943272,771791.091803,10
clean_2PVW,-8.4,-7.38,98841294.695967,9820467024.02837,10
clean_3EJ8,-8.4,1.13,11932.714147,1185585.702305,10
clean_3QVV,-8.4,-5.82,145966464.661844,14502631286.193867,10
clean_3R58,-8.4,-11.76,1392.942438,138397.066921,10
clean_3SJG,-8.4,-6.88,336870186.036116,33470044716.856178,10
clean_4C2S,-8.4,-1.20,789612.480301,78452668.47641,7
clean_4DBU,-8.4,-9.71,5636134.709773,559983306.881605,10
clean_4DLJ,-8.4,-5.42,228.557478,22708.536752,10
clean_4GKC,-8.4,-7.63,68752.381742,6830955.622317,10
clean_4JNM,-8.4,0.13,925216.175895,91925697.386138,10
clean_4JVN,-8.4,-3.40,3697347728336693.5,367353357260083264.0,4
clean_4LTS,-8.4,-4.87,7127743756.120576,708183484726.876343,10
clean_4MCS,-8.4,-10.20,520877879.030469,51752296955.426979,10
clean_4NQD,-8.4,-5.34,212829.418923,21145861.117117,4
clean_4O10,-8.4,-9.02,4765588.503658,473489394.227531,10
clean_4O13,-8.4,-5.74,39570858.644184,3931598767.731934,10
clean_4OUC,-8.4,0.21,21987911.13585,2184628974.165873,5
clean_4PJC,-8.4,-13.73,478.354902,47527.387799,10
clean_4QQD,-8.4,-12.01,1017.970971,101141.434653,10
clean_4RZV,-8.4,-3.23,4454255.162928,442556586.077638,10
clean_4WQ6,-8.4,-13.16,3670350.295849,364671002.720946,10
clean_4ZG6,-8.4,3.93,20092.687493,1996327.299821,10
clean_5BO7,-8.4,1.81,249104309352.079437,24749985955366.777344,3
clean_5BO9,-8.4,-1.98,734246.75829,72951756.646498,5
clean_5DN3,-8.4,-6.47,1574231.473244,156409204.459876,10
clean_5DNR,-8.4,-13.43,2961550.203188,294247522.757268,10
clean_5E6M,-8.4,-2.85,8419084.042571,836485777.193764,10
clean_5FSK,-8.4,-11.19,5265.805182,523188.878768,10
clean_5FVX,-8.4,-11.27,69.984794,6953.403102,10
clean_5LIH,-8.4,-6.68,2546028.339634,252962968.853479,10
clean_5UO5,-8.4,-1.38,21597.238525,2145813.340405,10
clean_5UO7,-8.4,-10.94,394.198865,39165.987917,10
clean_6ANL,-8.4,-8.70,9396.348429,933582.772001,10
clean_6EQ6,-8.4,-6.53,476.743325,47367.268044,10
clean_6F5L,-8.4,-13.57,15425205.174924,1532585335.15948,10
clean_6G22,-8.4,-13.46,99779.219423,9913655.391066,10
clean_6GLE,-8.4,-8.19,27577.366723,2739974.43418,10
clean_6GLU,-8.4,-5.91,2428.913781,241326.94498,10
clean_6HHG,-8.4,-5.97,17.759732,1764.534392,10
clean_6JVK,-8.4,-3.43,206653.86056,20532282.880942,10
clean_6K1S,-8.4,-10.81,1469.090653,145962.8423,10
clean_6NGC,-8.4,-11.17,52.433487,5209.576939,10
clean_6NGE,-8.4,-9.65,3439.980926,341782.443736,10
clean_6NGH,-8.4,-9.87,29.891721,2969.919216,10
clean_6NHC,-8.4,-9.64,29.914951,2972.227269,10
clean_6PO7,-8.4,-9.97,4100.529032,407411.803583,10
clean_6PO8,-8.4,-11.12,556.71399,55312.826458,10
clean_6R63,-8.4,-1.31,596.77131,59292.758025,8
clean_6T50,-8.4,0.16,0.280913,27.910323,10
clean_6TAC,-8.4,-8.64,17655122058.391785,1754140761844.013428,10
clean_6VBI,-8.4,-11.97,1716.048421,170499.55673,10
clean_6VF3,-8.4,-9.21,1441698.198601,143241240.025397,10
clean_6XL8,-8.4,NA,NA,NA,1
clean_6Z5C,-8.4,-6.10,6643.190409,660040.244821,10
clean_7A62,-8.4,-3.97,2.34903,233.390055,10
clean_7B9O,-8.4,-4.88,3.64925,362.574586,10
clean_7COB,-8.4,-9.37,2523.625266,250737.090984,10
clean_7COC,-8.4,-8.16,43358719.83703,4307945172.848981,10
clean_7F2L,-8.4,-10.28,891908.956814,88616428.242603,10
clean_7PPH,-8.4,-7.63,400279294.457362,39770114542.826363,10
clean_7S1S,-8.4,-10.49,705580.909519,70103635.085169,10
clean_7TS3,-8.4,-11.67,1109.518299,110237.203011,10
clean_7X3O,-8.4,-10.61,261528.327659,25984385.630745,10
clean_7ZT4,-8.4,NA,NA,NA,3
clean_7ZT9,-8.4,-1.23,812217.611503,80698621.913418,1
clean_8DD2,-8.4,-14.85,470.466667,46743.644985,10
clean_8DSE,-8.4,-9.48,557999230.86464,55440522738.953651,10
clean_8E9X,-8.4,NA,NA,NA,0
clean_8FGL,-8.4,-11.19,451.395653,44848.826958,10
clean_8Q7B,-8.4,-1.08,21722.242412,2158233.215722,10
clean_8QOO,-8.4,-4.31,3857.527803,383268.194775,8
clean_8RB6,-8.4,-9.88,235380703.852749,23386464608.631081,10
clean_8VLB,-8.4,-6.76,1823.121088,181137.859281,10
clean_9BTX,-8.4,-11.50,542.559198,53906.46422,4
Q6IS24,-8.4,-11.40,30496.581566,3030015.688647,10
Q6ZWT7,-8.4,-9.60,200.612036,19931.991909,10
Q9Y694,-8.4,-8.05,200092.41208,19880364.1801,10
clean_1FCK,-8.3,-7.69,189418979.518409,18819895548.79369,10
clean_1LQV,-8.3,-4.55,78.664523,7815.785436,10
clean_1SQY,-8.3,-8.15,309375.993863,30738334.165976,10
clean_1T8U,-8.3,-0.52,109415915723.840958,10871118145255.220703,10
clean_1Z4I,-8.3,-9.97,18817.153427,1869595.448767,10
clean_2ACL,-8.3,-11.81,0.058568,5.819038,10
clean_2E2X,-8.3,-5.87,31.148275,3094.76531,10
clean_2JAW,-8.3,-9.36,31963.556401,3175768.311946,10
clean_2NSI,-8.3,-4.92,356.102507,35380.889481,10
clean_2Z5Y,-8.3,-6.85,20897.812882,2076321.267443,10
clean_2ZK5,-8.3,6.59,0.892483,88.673415,2
clean_2ZKC,-8.3,-5.72,0.034466,3.424435,10
clean_2ZNP,-8.3,-4.43,6.341437,630.059264,10
clean_3B2D,-8.3,-7.57,8.848685,879.169128,10
clean_3BEJ,-8.3,-5.25,220.038868,21862.162486,10
clean_3BFX,-8.3,-12.13,8374048.166615,832011196.644391,10
clean_3BHX,-8.3,-11.34,133159216764.533508,13230155485153.728516,10
clean_3DPK,-8.3,-6.91,60.753282,6036.197765,10
clean_3E7G,-8.3,-8.72,88382.692001,8781343.010094,10
clean_3EWJ,-8.3,-8.13,34686.744246,3446333.12513,10
clean_3MS5,-8.3,-0.14,284301844.917534,28247069218.094528,2
clean_3P1S,-8.3,-4.84,196.553285,19528.730983,10
clean_3R43,-8.3,-12.86,93633.695552,9303061.259311,10
