Protein_ID,Source,Num_Pockets,Top_Score,Top_Probability,Center_X,Center_Y,Center_Z,Surf_Atoms
Q96QS3,alphafold,1,1.0,0.005,-1.591,1.352,3.89,18.0
Q5VUB5,alphafold,3,4.67,0.168,-4.185,12.948,2.424,31.0
Q9Y5Q0,alphafold,19,57.39,0.977,1.113,11.137,-8.904,80.0
Q96RL6,alphafold,2,1.42,0.015,34.552,8.028,-30.338,14.0
Q9C0J9,alphafold,3,2.3,0.048,-31.61,-0.701,30.247,13.0
Q9HCM3,alphafold,4,6.28,0.262,-15.686,2.935,18.541,30.0
Q08462,alphafold,36,23.87,0.847,-32.87,-8.403,20.421,79.0
Q9Y6M1,alphafold,3,5.2,0.198,-0.897,-27.481,10.627,34.0
Q13509,alphafold,8,27.4,0.882,-0.47,6.342,-11.959,54.0
Q8IWU5,alphafold,9,23.93,0.848,11.497,-1.595,2.681,48.0
Q9NP56,alphafold,4,52.34,0.97,-12.124,-1.547,5.082,75.0
O15403,alphafold,12,58.0,0.978,1.943,3.112,0.394,64.0
Q96F05,alphafold,0,,,,,,
O60337,alphafold,21,28.91,0.893,-15.812,-6.476,22.37,68.0
O43448,alphafold,3,38.35,0.942,-5.813,-5.269,5.416,94.0
Q9H2K2,alphafold,16,6.72,0.288,8.519,-23.325,-32.804,19.0
O15321,alphafold,21,71.19,0.988,-0.179,3.636,3.08,145.0
Q0VD83,alphafold,0,,,,,,
Q7Z333,alphafold,26,28.48,0.889,-16.045,-2.002,13.851,76.0
O43462,alphafold,10,32.16,0.914,-12.62,-5.455,14.192,73.0
Q8ND71,alphafold,7,27.24,0.88,-4.652,-4.238,17.079,58.0
Q9H3U7,alphafold,7,2.38,0.051,-19.896,-14.212,6.124,17.0
Q14956,alphafold,3,6.1,0.251,-16.923,-25.635,30.506,32.0
Q4U2R8,alphafold,8,48.62,0.965,-9.645,2.469,0.297,80.0
Q9BYT1,alphafold,11,46.86,0.962,-2.685,0.663,6.263,109.0
Q9NYV8,alphafold,7,32.09,0.914,12.273,4.248,-8.454,95.0
Q8N163,alphafold,10,3.09,0.083,-17.556,7.861,11.313,25.0
Q9ULD0,alphafold,20,22.96,0.834,-13.018,13.543,10.523,39.0
O60427,alphafold,16,59.92,0.982,-1.565,1.822,7.052,85.0
P36776,alphafold,8,18.8,0.761,-0.296,13.257,-5.02,49.0
Q0D2K0,alphafold,9,48.15,0.964,-3.057,-0.782,7.457,97.0
O76074,alphafold,10,42.23,0.952,-27.851,0.363,19.297,75.0
Q15723,alphafold,2,2.04,0.037,-2.986,3.724,-9.172,17.0
O95359,alphafold,0,,,,,,
Q9Y2D8,alphafold,0,,,,,,
Q93052,alphafold,4,1.98,0.035,11.156,2.467,-17.926,21.0
Q53R41,alphafold,12,12.78,0.58,7.601,5.506,-7.733,59.0
Q9BXW9,alphafold,21,8.29,0.376,17.58,-3.358,-25.043,50.0
Q8N0Z6,alphafold,9,10.59,0.489,-13.839,8.21,7.926,70.0
O43914,alphafold,0,,,,,,
Q8NF64,alphafold,4,8.45,0.384,-13.198,9.117,13.151,39.0
Q96FC9,alphafold,10,8.34,0.379,4.249,14.263,5.547,34.0
Q8TDC3,alphafold,9,29.37,0.896,-6.744,8.391,2.546,80.0
O15294,alphafold,15,45.36,0.959,-11.442,1.034,4.964,115.0
Q9BY07,alphafold,23,24.05,0.849,10.974,3.632,-14.054,42.0
Q86VD9,alphafold,10,33.69,0.923,1.184,-8.052,0.664,75.0
O75355,alphafold,5,39.39,0.944,-0.063,4.111,-4.109,75.0
Q8IYK4,alphafold,9,62.0,0.984,10.597,15.235,-11.661,101.0
Q70YC5,alphafold,0,,,,,,
Q9NQV8,alphafold,3,3.67,0.111,-22.556,-7.356,8.274,23.0
I3ZN84,alphafold,4,28.02,0.886,8.96,-7.734,-11.217,58.0
Q9BZA7,alphafold,1,0.83,0.003,-24.24,-13.77,29.745,13.0
Q8TED9,alphafold,4,4.33,0.148,-17.733,12.913,14.534,22.0
Q96JI7,alphafold,48,14.36,0.635,-28.316,30.423,3.294,62.0
Q9H116,alphafold,6,26.95,0.877,-3.479,33.003,20.862,30.0
Q5VT25,alphafold,16,21.06,0.803,-27.203,26.077,8.303,65.0
Q3SXY8,alphafold,2,11.3,0.521,7.655,-2.113,0.942,44.0
P98169,alphafold,2,3.12,0.084,-5.247,-13.16,6.732,27.0
O43189,alphafold,9,28.04,0.887,-13.503,1.105,14.308,79.0
Q9NTI2,alphafold,26,23.06,0.835,-17.896,-1.494,10.277,46.0
P57775,alphafold,5,31.04,0.907,6.13,3.573,-3.02,64.0
P23786,alphafold,16,48.09,0.964,-3.533,5.458,3.557,87.0
O43674,alphafold,0,,,,,,
P42345,alphafold,58,16.91,0.713,-34.17,-7.028,41.745,71.0
A0A0M3KL53,alphafold,0,,,,,,
Q02487,alphafold,4,1.53,0.018,-61.938,30.872,76.207,16.0
Q13563,alphafold,9,15.59,0.676,-9.106,-12.698,4.428,30.0
P35503,alphafold,7,72.35,0.989,8.984,-1.747,2.819,145.0
Q96T23,alphafold,6,6.28,0.262,-3.713,-4.912,-3.248,28.0
Q9HCQ5,alphafold,6,32.64,0.917,2.495,2.884,7.207,89.0
Q8NFF2,alphafold,18,12.74,0.578,-3.08,10.285,6.893,44.0
O00329,alphafold,22,19.38,0.774,-5.778,0.983,8.773,65.0
Q9NYB5,alphafold,10,60.75,0.983,-7.254,0.796,3.641,121.0
Q8WXH2,alphafold,9,8.29,0.376,-4.594,-3.63,6.753,36.0
Q8N1M1,alphafold,9,5.65,0.225,-24.227,4.086,13.097,36.0
P55287,alphafold,2,6.01,0.245,37.053,16.094,-93.977,32.0
Q10713,alphafold,7,52.88,0.97,2.554,-4.497,-1.789,131.0
Q643R3,alphafold,6,49.18,0.966,-2.836,6.535,9.997,118.0
Q9H2G4,alphafold,2,17.64,0.732,-3.948,4.743,4.715,59.0
Q8WWY8,alphafold,10,19.68,0.78,-15.3,-1.855,-1.38,41.0
Q12802,alphafold,2,10.49,0.485,-2.145,-2.767,22.764,39.0
O60312,alphafold,35,18.24,0.747,4.864,-2.019,19.933,64.0
P26373,alphafold,1,2.61,0.061,6.334,12.11,-13.604,27.0
Q8IWV2,alphafold,4,2.35,0.05,20.293,-5.63,-29.304,23.0
Q9Y6A1,alphafold,21,20.69,0.797,6.933,0.109,5.792,65.0
Q9Y2I6,alphafold,1,2.34,0.05,-1.992,8.447,47.989,15.0
Q9UQ07,alphafold,7,12.56,0.571,-4.496,0.557,11.631,41.0
Q13887,alphafold,5,9.42,0.434,-13.268,5.072,7.944,43.0
O14639,alphafold,5,3.43,0.098,22.496,13.686,-27.616,26.0
P54792,alphafold,0,,,,,,
P41159,alphafold,0,,,,,,
Q12851,alphafold,18,27.25,0.88,-17.307,5.257,11.191,72.0
Q9NWB7,alphafold,2,0.95,0.004,-7.828,-4.413,-24.714,18.0
P43357,alphafold,2,4.33,0.148,-0.781,14.579,5.157,24.0
Q9UPU3,alphafold,20,14.78,0.652,-6.953,-12.317,-17.326,57.0
Q5SRI9,alphafold,5,39.18,0.944,-8.309,9.796,-12.211,93.0
Q8WWZ7,alphafold,42,31.3,0.908,-24.154,3.324,32.365,112.0
Q9NRR6,alphafold,5,9.89,0.457,-19.236,-2.997,5.723,28.0
Q3V5L5,alphafold,12,31.53,0.91,-9.552,-6.089,1.765,81.0
Q9UNY4,alphafold,13,23.52,0.841,-15.558,-3.968,-4.201,51.0
Q8IVL0,alphafold,8,9.77,0.452,-2.402,9.454,12.265,39.0
Q6UB35,alphafold,13,50.64,0.968,1.371,-5.876,-15.895,93.0
Q92681,alphafold,0,,,,,,
Q9P265,alphafold,25,26.95,0.877,-26.364,-14.617,12.1,90.0
P34947,alphafold,10,19.86,0.784,-3.173,-4.753,11.378,51.0
Q5VX71,alphafold,0,,,,,,
O95450,alphafold,18,21.83,0.818,3.301,-6.41,-15.849,78.0
Q9BQ16,alphafold,3,11.16,0.515,-1.276,-5.59,-10.623,43.0
P63000,alphafold,2,6.35,0.266,5.449,8.946,-2.239,24.0
Q401N2,alphafold,8,6.3,0.263,10.978,-3.109,-4.308,33.0
O94988,alphafold,0,,,,,,
Q96KR1,alphafold,6,17.54,0.729,-7.323,-4.654,-4.838,56.0
Q13905,alphafold,16,24.89,0.859,-23.487,11.426,5.031,84.0
O15534,alphafold,6,7.01,0.303,3.289,10.995,-17.43,26.0
O96028,alphafold,22,18.47,0.752,3.131,19.645,-16.815,44.0
Q14CB8,alphafold,3,2.35,0.05,-13.779,19.276,16.919,18.0
Q96RU7,alphafold,4,10.14,0.469,5.32,3.607,4.952,42.0
O96017,alphafold,9,19.17,0.769,-8.269,2.169,-4.991,63.0
O95196,alphafold,1,4.39,0.152,19.519,5.984,-16.751,26.0
Q86UP2,alphafold,0,,,,,,
Q2QGD7,alphafold,4,2.27,0.047,5.418,1.09,-22.533,16.0
Q9NZU1,alphafold,6,6.42,0.271,-2.558,-12.836,12.722,46.0
Q58F21,alphafold,3,19.88,0.784,-7.364,-1.201,-18.699,49.0
Q13164,alphafold,5,23.43,0.84,-14.045,2.567,-9.723,59.0
Q9UKF2,alphafold,16,6.96,0.301,-27.68,-0.917,30.86,35.0
Q7Z3S7,alphafold,16,21.54,0.812,10.416,-2.45,-6.444,53.0
Q9NS56,alphafold,8,2.95,0.076,1.622,3.292,-7.086,21.0
Q9P2K1,alphafold,21,13.94,0.621,30.333,7.401,-25.124,71.0
Q15392,alphafold,9,59.15,0.981,-0.024,5.543,-3.972,107.0
Q8IZJ3,alphafold,29,17.78,0.736,17.683,-0.086,-17.183,45.0
P30872,alphafold,5,42.09,0.952,6.55,3.878,-12.472,99.0
O75923,alphafold,36,11.78,0.541,28.14,-36.065,-4.58,38.0
Q86UW8,alphafold,5,18.69,0.758,2.329,-1.671,-13.127,51.0
Q9Y467,alphafold,1,3.74,0.116,-10.632,12.241,17.628,22.0
Q7Z4T8,alphafold,5,26.91,0.877,3.079,5.483,0.624,90.0
P51878,alphafold,8,10.5,0.485,12.869,1.127,-11.333,41.0
P19224,alphafold,10,73.85,0.99,2.917,-2.827,5.725,112.0
Q9NWK9,alphafold,8,5.51,0.218,-10.09,-3.26,-12.176,27.0
Q9NP58,alphafold,17,14.76,0.651,11.361,19.014,-23.022,77.0
Q9HAC7,alphafold,7,8.92,0.41,10.496,14.521,-10.251,40.0
Q7Z7G8,alphafold,6,31.25,0.908,0.098,5.798,-1.847,82.0
Q8N145,alphafold,4,23.76,0.845,12.532,2.266,-12.774,67.0
Q9NY93,alphafold,7,28.02,0.886,-8.691,-2.292,0.24,95.0
Q9H307,alphafold,1,3.06,0.082,8.723,10.42,-9.314,14.0
A0JLT2,alphafold,0,,,,,,
P25789,alphafold,2,3.85,0.121,-6.866,-2.034,-11.149,14.0
Q9BTF0,alphafold,5,14.97,0.658,8.341,-7.006,-12.424,59.0
Q8WUF5,alphafold,2,16.58,0.705,-14.991,-3.277,0.412,56.0
Q9H2B4,alphafold,14,23.52,0.841,-7.606,-5.199,0.189,45.0
Q14184,alphafold,7,14.87,0.655,0.293,6.285,-20.576,35.0
Q9H9B1,alphafold,16,18.69,0.758,-33.853,-6.889,9.369,49.0
Q9HDB5,alphafold,2,1.74,0.026,-18.645,8.152,8.748,20.0
Q9UBI4,alphafold,1,6.3,0.263,-25.795,3.871,-22.633,11.0
O75077,alphafold,20,31.43,0.909,-4.385,-3.174,8.166,85.0
Q04727,alphafold,6,38.71,0.943,-6.338,2.646,-1.231,120.0
A6NNN8,alphafold,10,19.59,0.778,-3.748,-5.518,0.937,46.0
Q86YF9,alphafold,2,2.28,0.047,13.376,7.342,-36.456,24.0
Q8IY21,alphafold,47,31.95,0.913,-10.817,-1.675,-0.752,79.0
Q5S007,alphafold,40,22.99,0.834,5.945,15.371,-18.395,70.0
P00797,alphafold,5,12.73,0.577,-13.051,-6.611,-1.43,47.0
O15553,alphafold,4,4.63,0.166,-3.475,-5.048,-28.254,24.0
Q5VVM6,alphafold,1,2.18,0.043,31.119,-1.395,7.054,28.0
Q9P2H0,alphafold,0,,,,,,
Q14202,alphafold,14,6.26,0.261,-19.032,-11.318,-7.135,36.0
Q6P2S7,alphafold,33,69.8,0.987,-2.994,-10.633,-18.151,96.0
Q6ZMQ8,alphafold,6,5.28,0.203,-13.736,15.017,-1.614,30.0
Q8TCC7,alphafold,10,55.79,0.975,-1.488,-3.032,5.33,111.0
Q9Y226,alphafold,10,40.4,0.947,-8.626,2.389,1.427,46.0
Q5DX21,alphafold,0,,,,,,
Q14147,alphafold,25,26.32,0.872,11.646,4.636,-19.771,52.0
O75410,alphafold,0,,,,,,
Q15369,alphafold,1,2.28,0.047,-3.233,8.041,4.662,14.0
O00462,alphafold,17,31.21,0.908,-5.867,-6.777,-9.161,66.0
P56730,alphafold,16,6.29,0.263,-15.118,-6.986,26.455,31.0
P58401,alphafold,1,6.16,0.254,-10.596,12.8,6.564,28.0
Q96T92,alphafold,2,3.56,0.105,-14.601,3.331,21.053,18.0
P33402,alphafold,11,7.73,0.344,-25.447,-24.515,32.072,26.0
Q8TDN1,alphafold,5,5.97,0.243,2.77,-10.858,-33.454,42.0
P63167,alphafold,0,,,,,,
A1L020,alphafold,0,,,,,,
Q16587,alphafold,4,3.99,0.129,-33.119,-5.676,19.619,30.0
Q96HF1,alphafold,3,21.32,0.808,-9.166,2.791,-2.112,61.0
Q96Q89,alphafold,11,12.23,0.558,-6.983,16.903,9.261,29.0
Q86U44,alphafold,8,6.11,0.251,-10.081,2.294,5.695,30.0
O95236,alphafold,5,5.37,0.209,2.923,-0.489,-13.579,26.0
Q9P0J7,alphafold,3,2.34,0.049,-2.021,-4.292,-1.53,18.0
Q99572,alphafold,7,8.25,0.373,-51.682,11.336,43.242,58.0
Q8IUD2,alphafold,1,5.72,0.23,34.497,17.956,2.686,29.0
Q9BYG0,alphafold,6,28.75,0.891,3.403,1.601,-6.258,79.0
Q9NV88,alphafold,7,24.16,0.85,2.377,3.003,0.834,56.0
Q9H4D0,alphafold,11,11.7,0.537,-9.196,5.853,5.702,38.0
O95263,alphafold,11,21.41,0.809,30.838,8.527,-13.336,45.0
Q9NWS0,alphafold,1,4.66,0.167,-8.587,-0.333,10.811,33.0
Q9NSA2,alphafold,5,9.19,0.422,-4.418,-12.269,-7.233,36.0
Q8ND04,alphafold,12,6.69,0.286,-41.85,-4.984,34.78,26.0
O43272,alphafold,12,31.13,0.907,-7.327,-4.052,14.818,90.0
Q92896,alphafold,25,12.94,0.586,-21.57,6.635,19.795,69.0
Q96P44,alphafold,8,3.9,0.124,-19.061,3.495,-19.078,22.0
Q9NZQ7,alphafold,0,,,,,,
Q9ULX5,alphafold,9,9.73,0.45,4.717,9.713,-17.204,37.0
Q9H1H9,alphafold,28,27.15,0.879,-0.166,9.209,28.697,85.0
Q96K21,alphafold,2,2.05,0.038,23.517,-17.037,-2.345,23.0
Q7RTY8,alphafold,17,14.45,0.639,5.896,11.957,2.14,54.0
P20848,alphafold,7,3.54,0.104,18.115,15.531,-13.582,30.0
O14757,alphafold,8,14.12,0.627,-3.666,8.807,0.08,60.0
Q9H015,alphafold,10,59.64,0.982,-13.911,1.631,3.522,87.0
Q08499,alphafold,3,58.76,0.98,-8.106,-0.066,-13.928,75.0
P30046,alphafold,0,,,,,,
Q9P2R3,alphafold,13,8.63,0.393,29.214,5.848,-30.315,42.0
Q9NXH9,alphafold,8,8.18,0.369,-14.215,-14.495,0.186,51.0
Q99884,alphafold,17,37.54,0.94,3.624,4.104,-2.004,71.0
Q96PV4,alphafold,1,2.17,0.043,-12.296,1.42,23.188,18.0
P42330,alphafold,3,61.1,0.983,8.814,6.499,0.303,85.0
Q504Y0,alphafold,13,8.78,0.402,-25.013,-10.616,4.228,44.0
Q7Z434,alphafold,0,,,,,,
Q9UHF7,alphafold,8,23.51,0.841,9.581,-2.751,6.415,111.0
P37231,alphafold,6,60.21,0.982,-12.998,-7.56,4.433,87.0
P28370,alphafold,17,31.77,0.912,7.388,-4.665,-12.81,52.0
Q9BQA5,alphafold,11,4.96,0.184,8.211,1.088,-10.61,27.0
Q6PCB7,alphafold,8,86.72,0.993,2.857,3.361,-4.319,198.0
Q9Y4R7,alphafold,13,11.28,0.52,14.083,-1.624,-10.721,44.0
O43916,alphafold,3,27.72,0.884,8.79,-1.042,2.157,84.0
Q8IVB4,alphafold,17,32.13,0.914,-8.076,3.624,4.277,68.0
Q9HBW1,alphafold,6,29.98,0.9,-6.103,13.74,5.554,79.0
Q96KK3,alphafold,9,11.68,0.537,-10.091,-12.905,3.212,36.0
Q86WI3,alphafold,27,38.17,0.942,21.15,-2.184,-35.801,86.0
Q8TDF5,alphafold,3,14.98,0.659,-1.674,-2.972,-2.813,42.0
Q9ULS5,alphafold,0,,,,,,
P06899,alphafold,0,,,,,,
O95897,alphafold,4,3.21,0.088,-10.322,1.779,-0.852,15.0
Q92633,alphafold,6,44.06,0.956,5.671,-0.534,-9.812,69.0
Q9Y251,alphafold,10,38.85,0.943,-19.924,3.143,-4.093,63.0
P13611,alphafold,5,16.91,0.713,28.922,8.989,-11.11,60.0
P52739,alphafold,3,8.93,0.41,14.923,8.98,-12.975,34.0
Q8WU17,alphafold,12,37.88,0.94,9.964,1.322,0.872,79.0
Q8ND83,alphafold,0,,,,,,
Q16878,alphafold,1,16.51,0.703,-0.09,3.684,-3.95,21.0
Q86UN3,alphafold,3,27.95,0.886,-3.672,11.459,-5.871,68.0
Q9BQT9,alphafold,10,14.36,0.636,-17.534,3.632,0.272,46.0
Q8N859,alphafold,4,3.03,0.08,39.523,-6.107,-16.748,24.0
Q96SL1,alphafold,9,34.4,0.926,-5.085,0.634,-4.841,53.0
Q86XJ1,alphafold,5,4.88,0.18,-3.36,2.703,3.373,21.0
Q4G0U5,alphafold,2,1.68,0.023,-15.76,-9.151,5.866,18.0
Q13057,alphafold,9,39.87,0.946,7.92,13.349,-7.499,73.0
P06756,alphafold,12,26.07,0.87,9.883,2.028,-14.092,89.0
O14773,alphafold,7,14.54,0.642,1.033,9.018,3.134,48.0
Q9Y694,alphafold,13,52.86,0.97,-3.257,-2.92,8.897,129.0
Q8WXA8,alphafold,5,10.84,0.499,-13.94,0.062,15.065,34.0
Q9UBF8,alphafold,7,38.92,0.943,7.894,-2.503,1.678,96.0
Q9NVX7,alphafold,12,13.9,0.62,14.412,6.605,-21.461,51.0
O75600,alphafold,5,14.64,0.647,-1.983,1.317,-0.41,27.0
Q13573,alphafold,0,,,,,,
P02358,alphafold,0,,,,,,
Q96A23,alphafold,8,6.07,0.249,7.669,-8.557,-9.087,22.0
Q9UBZ4,alphafold,4,23.45,0.841,3.905,-1.456,-12.596,78.0
Q7L0X0,alphafold,8,19.59,0.778,-2.975,3.497,-11.304,62.0
Q7Z5J4,alphafold,3,2.17,0.042,-9.012,-7.751,1.6,14.0
Q86VW0,alphafold,9,12.23,0.558,-65.974,-5.789,71.262,50.0
O60231,alphafold,13,25.19,0.862,-19.483,11.042,2.689,67.0
Q12800,alphafold,5,4.19,0.14,-2.629,-6.231,-1.683,30.0
Q9GZX3,alphafold,8,33.8,0.923,6.497,5.784,1.837,64.0
P08684,alphafold,8,39.07,0.943,2.631,0.288,3.833,65.0
Q0WX57,alphafold,13,12.0,0.549,4.368,-0.03,8.466,43.0
O60243,alphafold,8,22.36,0.826,-9.829,7.572,-11.233,57.0
Q6UWP7,alphafold,12,63.32,0.985,-3.106,-1.734,-3.389,96.0
Q6XE24,alphafold,1,1.45,0.016,-10.008,1.468,3.709,18.0
A4D1E9,alphafold,4,3.07,0.082,4.84,-2.117,7.475,29.0
O75363,alphafold,0,,,,,,
Q9BXS0,alphafold,0,,,,,,
Q9NVS9,alphafold,2,3.78,0.118,-5.498,-5.702,11.501,28.0
Q14940,alphafold,13,29.42,0.896,-2.541,7.382,0.846,66.0
Q96LC7,alphafold,5,1.82,0.029,28.575,11.893,-37.002,13.0
P04350,alphafold,9,29.04,0.894,-0.187,5.218,-12.699,49.0
Q9UGQ3,alphafold,10,12.06,0.551,3.266,3.918,-0.933,24.0
Q9C0C2,alphafold,0,,,,,,
Q9UQF2,alphafold,8,31.89,0.912,-3.566,7.199,1.879,50.0
Q9H9P8,alphafold,6,60.53,0.982,-1.109,0.418,-0.163,147.0
Q9H172,alphafold,13,14.9,0.656,9.392,9.135,-7.696,59.0
Q13405,alphafold,0,,,,,,
P07602,alphafold,7,22.18,0.823,-6.917,-2.673,12.162,40.0
Q96JE9,alphafold,0,,,,,,
O75078,alphafold,18,16.56,0.704,-16.441,-9.925,7.979,75.0
Q13023,alphafold,9,5.89,0.239,-34.694,4.878,7.868,38.0
Q68CP4,alphafold,17,25.96,0.87,-13.354,-5.522,11.289,56.0
Q9GZU5,alphafold,2,16.39,0.699,-8.42,6.52,-0.177,83.0
Q12894,alphafold,5,11.17,0.516,-2.309,1.43,-15.083,37.0
Q14680,alphafold,10,23.73,0.845,-14.557,3.147,-3.755,69.0
Q8NG48,alphafold,13,14.57,0.644,23.292,11.967,-20.055,61.0
P51816,alphafold,10,15.41,0.672,-16.847,10.874,7.638,46.0
Q9BRX5,alphafold,2,5.52,0.218,1.767,5.657,1.304,32.0
P51946,alphafold,5,10.74,0.495,16.79,5.265,-8.565,50.0
Q92949,alphafold,1,9.03,0.415,-8.082,13.737,-10.8,46.0
P85298,alphafold,5,58.02,0.979,-5.82,9.833,15.563,54.0
P04049,alphafold,8,30.17,0.902,-15.435,-3.522,8.726,76.0
A7MCY6,alphafold,1,1.1,0.007,-9.348,30.32,-21.87,9.0
A0PJY2,alphafold,3,1.79,0.028,0.696,20.368,-9.181,17.0
Q5VIY5,alphafold,2,12.46,0.567,-14.37,-38.045,8.803,81.0
Q7L311,alphafold,2,8.66,0.395,-12.508,2.927,22.613,39.0
Q9NRY6,alphafold,4,3.13,0.085,-2.674,-1.873,-18.555,25.0
Q9NQZ8,alphafold,1,1.36,0.013,-13.719,-12.907,-9.398,13.0
O43150,alphafold,9,4.55,0.161,10.747,10.026,-28.384,21.0
P48664,alphafold,13,12.04,0.55,4.373,-5.567,12.161,46.0
B3KU38,alphafold,0,,,,,,
Q5VY43,alphafold,4,1.8,0.028,22.245,26.681,-38.299,16.0
O60313,alphafold,5,8.86,0.406,-29.567,-18.471,27.819,38.0
O14986,alphafold,12,23.94,0.848,-2.017,-7.357,1.324,80.0
Q9BYT3,alphafold,6,26.43,0.873,-10.081,5.876,4.899,78.0
Q9UHD8,alphafold,7,7.49,0.331,-2.994,-3.645,11.524,26.0
O75912,alphafold,18,36.82,0.937,-13.105,-11.499,7.476,80.0
Q9NR63,alphafold,11,85.46,0.993,0.234,1.25,-3.228,176.0
O14827,alphafold,19,20.53,0.795,7.35,-2.394,-8.801,99.0
Q9P2M7,alphafold,0,,,,,,
Q9NZV1,alphafold,6,9.49,0.437,18.413,-18.724,-3.392,48.0
Q9UQ03,alphafold,5,40.56,0.947,-0.055,-0.563,3.573,99.0
Q8TF76,alphafold,6,28.24,0.888,-4.082,-5.813,-5.217,71.0
Q8WWZ4,alphafold,43,33.03,0.92,-11.723,6.999,40.184,118.0
Q86V15,alphafold,15,7.95,0.356,-28.29,15.945,19.639,31.0
Q9UBX7,alphafold,3,5.22,0.2,5.985,-11.808,3.119,31.0
Q8N8U9,alphafold,13,13.85,0.618,13.971,6.24,-28.541,37.0
Q70J99,alphafold,14,5.51,0.217,-39.914,-0.239,86.589,38.0
Q96SD1,alphafold,8,12.7,0.576,0.57,10.03,1.383,38.0
Q9C0K1,alphafold,7,14.67,0.648,-7.955,-8.088,6.312,37.0
P48047,alphafold,1,0.8,0.002,6.138,3.243,-8.944,9.0
Q7RTS9,alphafold,13,33.17,0.92,8.305,9.238,-23.636,84.0
Q8TDW7,alphafold,15,7.5,0.332,-66.903,4.475,34.844,44.0
Q9P2S2,alphafold,15,10.76,0.496,-9.421,-3.251,-5.493,40.0
Q92536,alphafold,15,23.75,0.845,-6.98,1.632,-2.011,30.0
Q6UY14,alphafold,1,1.02,0.005,4.157,34.113,-6.046,12.0
Q86VZ5,alphafold,8,45.12,0.958,-0.921,-4.921,-2.713,85.0
A0A087X1C5,alphafold,9,47.92,0.964,-0.965,1.728,-1.913,103.0
P18124,alphafold,4,2.7,0.065,-7.324,-3.493,-10.636,25.0
Q8TAX9,alphafold,11,42.21,0.952,-7.482,-13.351,14.928,79.0
P56715,alphafold,4,5.31,0.205,-5.812,48.177,3.174,25.0
Q8NFZ3,alphafold,12,8.07,0.363,-2.912,4.819,-20.878,38.0
Q9UKU0,alphafold,11,46.46,0.961,5.002,7.349,4.05,124.0
O75072,alphafold,5,49.44,0.967,16.378,7.207,-14.628,69.0
O43924,alphafold,1,49.09,0.966,5.746,2.744,-3.896,58.0
Q9UPE1,alphafold,9,20.53,0.795,2.154,0.373,-6.613,78.0
Q9Y676,alphafold,1,0.97,0.005,-8.859,-6.981,16.386,11.0
O14503,alphafold,0,,,,,,
O14829,alphafold,16,16.39,0.7,-8.148,-0.236,-18.823,50.0
Q96FN4,alphafold,9,15.45,0.673,16.52,-9.256,-5.346,32.0
Q8WU79,alphafold,0,,,,,,
